metric_id,analysis_family,sensor,AOI,target_year,history/configuration,metric_name,full_precision_value,manuscript_display_value,rounding_rule,source_file,source_row/filter,generating_script,status
primary_pair_rows,primary_data,ALL,ALL,ALL,ALL,total paired observations,681545,"681,545",counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,results/manuscript_summary/canonical_primary_manifest.json,JSON key=pair_rows,code/primary_analysis/build_canonical_nonoverlap_outputs.py,CANONICAL
primary_multi_aoi_runs,primary_data,ALL,ALL,ALL,ALL,Multi-AOI OLS runs,72,72,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,results/manuscript_summary/canonical_primary_manifest.json,JSON key=multi_aoi_runs,code/primary_analysis/build_canonical_nonoverlap_outputs.py,CANONICAL
primary_rolling_origin_runs,primary_data,ALL,ALL,ALL,ALL,Rolling-Origin OLS runs,72,72,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,results/manuscript_summary/canonical_primary_manifest.json,JSON key=rolling_origin_runs,code/primary_analysis/build_canonical_nonoverlap_outputs.py,CANONICAL
primary_dpm_runs,primary_data,ALL,ALL,ALL,ALL,DPM endpoint configurations,48,48,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,results/manuscript_summary/canonical_primary_manifest.json,JSON key=dpm_runs,code/primary_analysis/build_canonical_nonoverlap_outputs.py,CANONICAL
primary_block_contrasts,primary_data,ALL,ALL,ALL,ALL,predefined paired block contrasts,72,72,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,results/manuscript_summary/canonical_primary_manifest.json,JSON key=block_contrasts,code/primary_analysis/build_canonical_nonoverlap_outputs.py,CANONICAL
multi_landsat_AOI-00_W2022_RMSE,multi_aoi_ols,landsat,AOI-00,2025,W2022,RMSE,0.0492297588303295,0.049230,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,results/primary/multi_aoi/multi_aoi_metrics.csv,AOI=AOI-00; sensor=landsat; window=W2022; target_year=2025,code/primary_analysis/build_canonical_nonoverlap_outputs.py,CANONICAL
multi_landsat_AOI-00_W2022_MAE,multi_aoi_ols,landsat,AOI-00,2025,W2022,MAE,0.0403013681922729,0.040301,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,results/primary/multi_aoi/multi_aoi_metrics.csv,AOI=AOI-00; sensor=landsat; window=W2022; target_year=2025,code/primary_analysis/build_canonical_nonoverlap_outputs.py,CANONICAL
multi_landsat_AOI-00_W2022_Bias,multi_aoi_ols,landsat,AOI-00,2025,W2022,Bias,-0.0010518259242066,-0.001052,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,results/primary/multi_aoi/multi_aoi_metrics.csv,AOI=AOI-00; sensor=landsat; window=W2022; target_year=2025,code/primary_analysis/build_canonical_nonoverlap_outputs.py,CANONICAL
multi_landsat_AOI-00_W2022_R2,multi_aoi_ols,landsat,AOI-00,2025,W2022,R2,0.7405386596973291,0.7405386596973291,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,results/primary/multi_aoi/multi_aoi_metrics.csv,AOI=AOI-00; sensor=landsat; window=W2022; target_year=2025,code/primary_analysis/build_canonical_nonoverlap_outputs.py,CANONICAL
multi_landsat_AOI-00_W2022_Pearson_r,multi_aoi_ols,landsat,AOI-00,2025,W2022,Pearson_r,0.8607811944412894,0.8607811944412894,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,results/primary/multi_aoi/multi_aoi_metrics.csv,AOI=AOI-00; sensor=landsat; window=W2022; target_year=2025,code/primary_analysis/build_canonical_nonoverlap_outputs.py,CANONICAL
multi_landsat_AOI-00_W2023_RMSE,multi_aoi_ols,landsat,AOI-00,2025,W2023,RMSE,0.0500402703789647,0.050040,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,results/primary/multi_aoi/multi_aoi_metrics.csv,AOI=AOI-00; sensor=landsat; window=W2023; target_year=2025,code/primary_analysis/build_canonical_nonoverlap_outputs.py,CANONICAL
multi_landsat_AOI-00_W2023_MAE,multi_aoi_ols,landsat,AOI-00,2025,W2023,MAE,0.0408831384432917,0.040883,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,results/primary/multi_aoi/multi_aoi_metrics.csv,AOI=AOI-00; sensor=landsat; window=W2023; target_year=2025,code/primary_analysis/build_canonical_nonoverlap_outputs.py,CANONICAL
multi_landsat_AOI-00_W2023_Bias,multi_aoi_ols,landsat,AOI-00,2025,W2023,Bias,-0.0088321794688838,-0.008832,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,results/primary/multi_aoi/multi_aoi_metrics.csv,AOI=AOI-00; sensor=landsat; window=W2023; target_year=2025,code/primary_analysis/build_canonical_nonoverlap_outputs.py,CANONICAL
multi_landsat_AOI-00_W2023_R2,multi_aoi_ols,landsat,AOI-00,2025,W2023,R2,0.7319248633892765,0.7319248633892765,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,results/primary/multi_aoi/multi_aoi_metrics.csv,AOI=AOI-00; sensor=landsat; window=W2023; target_year=2025,code/primary_analysis/build_canonical_nonoverlap_outputs.py,CANONICAL
multi_landsat_AOI-00_W2023_Pearson_r,multi_aoi_ols,landsat,AOI-00,2025,W2023,Pearson_r,0.8607811944412886,0.8607811944412886,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,results/primary/multi_aoi/multi_aoi_metrics.csv,AOI=AOI-00; sensor=landsat; window=W2023; target_year=2025,code/primary_analysis/build_canonical_nonoverlap_outputs.py,CANONICAL
